Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:00.774001,3455739,8661,399,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/TEST_32nd.csv,RCV_Output_Report,2023-02-22 16:10:34.205344,2023-02-22 16:10:34.979345,18
"Time Taken Per 10,000 Votes Imported: "
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:03.238430,6329736,15864,399,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/TEST_16th.csv,RCV_Output_Report,2023-02-22 16:10:53.555616,2023-02-22 16:10:56.794046,18
"Time Taken Per 10,000 Votes Imported: ",0:00:00.639057
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:10.261488,12473538,31262,399,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/TEST_EIGHT.csv,RCV_Output_Report,2023-02-22 16:11:04.612747,2023-02-22 16:11:14.874235,18
"Time Taken Per 10,000 Votes Imported: ",0:00:00.622866,0:00:02.053688,0:00:04.674277
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:49.538981,22213926,55674,399,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/TEST_QUARTER.csv,RCV_Output_Report,2023-02-22 16:13:05.934322,2023-02-22 16:13:55.473303,18
"Time Taken Per 10,000 Votes Imported: ",0:00:00.649398,0:00:02.056380,0:00:05.794486,0:00:10.864453,0:00:15.132156
-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:04:26.359357,42450408,106392,399,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/TEST_HALF.csv,RCV_Output_Report,2023-02-22 16:19:22.921141,2023-02-22 16:23:49.280498,18
"Time Taken Per 10,000 Votes Imported: ",0:00:00.775921,0:00:03.723729,0:00:07.478054,0:00:14.840385,0:00:19.399075,0:00:24.192563,0:00:30.849740,0:00:38.521497,0:00:41.752850,0:00:44.045245
-,-,-,-,-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:17:12.497129,84487851,211749,399,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/TEST_ALL.csv,RCV_Output_Report,2023-02-22 16:24:00.174971,2023-02-22 16:41:12.672100,18
"Time Taken Per 10,000 Votes Imported: ",0:00:00.753372,0:00:02.618307,0:00:07.286210,0:00:14.657110,0:00:25.208497,0:00:26.308426,0:00:32.746090,0:00:31.811303,0:00:32.937287,0:00:39.030306,0:00:47.398337,0:00:52.069729,0:00:55.579398,0:01:00.394807,0:01:06.897191,0:01:11.742559,0:01:17.602586,0:01:24.263359,0:01:29.993886,0:01:34.122595,0:01:28.752147
-,-,-,-,-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:47.881954,4916093,55237,89,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/Test Data/TEST_EXAMPLE_VCR_INPUT.csv,RCV_Output_Report,2023-02-23 12:25:04.323386,2023-02-23 12:25:52.205340,2
"Time Taken Per 10,000 Votes Imported: ",0:00:00.704782,0:00:04.018137,0:00:05.151611,0:00:11.116896,0:00:14.764728
-,-,-,-,-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:01:34.717521,4916093,55237,89,Precinct,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/Test Data/TEST_EXAMPLE_VCR_INPUT.csv,TEST_OUTPUT_Race_and_Precinct,2023-02-23 12:27:54.363780,2023-02-23 12:29:29.081301,2
"Time Taken Per 10,000 Votes Imported: ",0:00:00.948304,0:00:03.709429,0:00:09.573667,0:00:24.155062,0:00:30.505770
-,-,-,-,-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:01:02.747436,4916093,55237,89,Batch,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/Test Data/TEST_EXAMPLE_VCR_INPUT.csv,TEST_OUTPUT_Race_and_Batch,2023-02-23 12:37:03.413245,2023-02-23 12:38:06.160681,2
"Time Taken Per 10,000 Votes Imported: ",0:00:00.831890,0:00:03.548046,0:00:05.703902,0:00:21.767372,0:00:18.951291
-,-,-,-,-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:04.409509,6329736,15864,399,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Desktop/Test Files/TEST_16th.csv,RCV_Output_Report,2023-02-23 14:14:42.704473,2023-02-23 14:14:47.113982,18
"Time Taken Per 10,000 Votes Imported: ",0:00:01.076284
-,-,-,-,-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:00.188799,0,0,0,None,Together,False,C:/Users/dbgeiger/OneDrive - Alameda County/Documents/GitHub/vote_checker/Test Data/TEST_EXAMPLE_VCR_INPUT.csv,RCV_Output_Report,2023-02-23 14:31:34.679445,2023-02-23 14:31:34.868244,0
"Time Taken Per 10,000 Votes Imported: "
-,-,-,-,-,-,-,-,-,-,-,-
Total Time,Total Cells,Number of Ballots,Number of Columns,Sample Grouping,File Grouping,Suspend Undervote?,Input File Name,output_file_name,Start DateTime,End DateTime,Number of Races
0:00:59.871039,4916093,55237,89,None,Together,False,/home/dorothybee/src/vc_branch/vote_checker/Test Data/TEST_EXAMPLE_VCR_INPUT.csv,RCV_Output_Report,2023-03-08 15:17:50.569399,2023-03-08 15:18:50.440438,2
"Time Taken Per 10,000 Votes Imported: ",0:00:01.870534,0:00:05.310892,0:00:09.534850,0:00:13.087370,0:00:15.055887
-,-,-,-,-,-,-,-,-,-,-,-
